generation,idx,cpu_m,mem_mib,replicas,fitness,f1,f2,f3,throughput,p95_latency_s,p99_latency_s,avg_latency_s,success_rate,total_requests,failed_requests,cpu_usage_cores,memory_usage_bytes,cpu_utilization,memory_utilization,cpu_throttling,memory_peak_usage_bytes,status,error,eval_time_s
2,9,400,256,3,0.6683623828986786,0.5227279739288505,1.9500000000000002,-21.98569182619045,21.98569182619045,2.191678524017334,2.656062364578247,0.982772111063212,1.0,2012,0,0.22587786279516564,69088402.28571428,0.5646946569879141,0.25737435477120535,0.748580947857701,79691776.0,ok,,232.1183376312256
2,10,550,256,4,0.677179914881957,0.44791710926228173,3.2,-39.15345212654555,39.15345212654555,1.5457191467285156,1.872485876083374,0.5495794439867597,1.0,3543,0,0.2739916777199845,67241398.85714285,0.49816668676360815,0.2504937308175223,0.5991118064151885,79650816.0,ok,,259.58651852607727
2,11,400,384,4,0.6658954589887647,0.4234574800707196,3.1,-27.186320440951103,27.186320440951103,2.2499663829803467,2.7818264961242676,0.7932682414610223,1.0,2490,0,0.1982593421241201,66752804.571428575,0.49564835531030027,0.16578238351004465,0.6535861027195642,77844480.0,ok,,247.35097861289978
3,0,550,256,4,0.677179914881957,0.44791710926228173,3.2,-39.15345212654555,39.15345212654555,1.5457191467285156,1.872485876083374,0.5495794439867597,1.0,3543,0,0.2739916777199845,67241398.85714285,0.49816668676360815,0.2504937308175223,0.5991118064151885,79650816.0,ok,,259.58651852607727
3,1,400,1024,1,0.6483003247204542,0.4910144564971589,1.4,-7.524915809529773,7.524915809529773,2.9808270931243896,2.9854588508605957,2.902790289524703,1.0,684,0,0.24642884160801115,63407250.28571428,0.6160721040200279,0.05905260358537946,0.9176330084533022,69144576.0,ok,,164.56212997436523
3,2,500,1024,4,0.6621691760367279,0.3792494126673473,6.0,-36.56003694066983,36.56003694066983,1.29371976852417,1.7005183696746826,0.5889236424719859,1.0,3313,0,0.2666895216461454,70039113.14285715,0.5333790432922908,0.06522900717599052,0.6843144076100852,79654912.0,ok,,299.52885341644287
3,3,500,256,4,0.6740301713725088,0.46341903777553245,3.0,-35.26546039516515,35.26546039516515,1.6071381568908691,2.014075756072998,0.6102828612122324,1.0,3206,0,0.2485167482633926,67853750.85714285,0.4970334965267852,0.25277491978236605,0.6284829730120024,80089088.0,ok,,268.6478946208954
3,4,500,128,4,0.6704266287848984,0.6047145163440859,2.5,-35.78943019155457,35.78943019155457,1.466336965560913,1.7546892166137695,0.6001856815013903,1.0,3259,0,0.24805622508581743,65238454.85714286,0.49611245017163486,0.48606436593191965,0.6271841596412967,78147584.0,ok,,295.4173254966736
3,5,500,512,4,0.6633271326496942,0.40998929681687296,4.0,-35.61216498589036,35.61216498589036,1.457758903503418,1.9165687561035156,0.604372228116285,1.0,3237,0,0.24945193713666874,67162258.28571428,0.4989038742733375,0.12509945460728236,0.6748751390439022,77901824.0,ok,,252.50790786743164
3,6,450,384,4,0.6676616610138182,0.4358956914842004,3.3,-32.43021034491973,32.43021034491973,1.6024587154388428,2.0788631439208984,0.6635496523577953,1.0,2955,0,0.23479944747272924,71371337.14285715,0.5217765499393983,0.1772526332310268,0.6730100515881924,80039936.0,ok,,290.14136242866516
